lon,lat,owner,watershed,type,form
-71.14595478270,42.43543358520,CITY-ROW,IN-90,STORM WATER INLET,
-71.14595926750,42.43271176480,CITY-ROW,IN-91,STORM WATER INLET,
-71.14584144960,42.43273592590,CITY-ROW,IN-92,STORM WATER INLET,
-71.14479204160,42.42904982640,CITY-ROW,IN-93,STORM WATER INLET,
-71.14491684260,42.42903719350,CITY-ROW,IN-94,STORM WATER INLET,
-71.14528132690,42.42979721250,CITY-ROW,IN-95,STORM WATER INLET,
-71.14517243240,42.42983400320,CITY-ROW,IN-96,STORM WATER INLET,
-71.14534255520,42.43059452640,CITY-ROW,IN-97,STORM WATER INLET,
-71.14546775660,42.43060420910,CITY-ROW,IN-98,STORM WATER INLET,
-71.14527710450,42.42743881380,CITY-ROW,IN-99,STORM WATER INLET,
-71.14515222100,42.42743402840,CITY-ROW,IN-100,STORM WATER INLET,
-71.14378779890,42.42565204780,CITY-ROW,IN-101,STORM WATER INLET,
-71.14385570640,42.42557478130,CITY-ROW,IN-102,STORM WATER INLET,
-71.14443629990,42.42605697200,CITY-ROW,IN-103,STORM WATER INLET,
-71.14331658480,42.42520096400,CITY-ROW,IN-104,STORM WATER INLET,
-71.11304460960,42.41928815130,CITY-ROW,IN-105,STORM WATER INLET,
-71.11287477210,42.41912148940,CITY-ROW,IN-106,STORM WATER INLET,
-71.11241490030,42.41893927300,CITY-ROW,IN-107,STORM WATER INLET,
-71.11029446400,42.41846653950,CITY-ROW,IN-108,STORM WATER INLET,
-71.11000921680,42.41839284830,CITY-ROW,IN-109,STORM WATER INLET,
-71.10965914710,42.41835420590,CITY-ROW,IN-110,STORM WATER INLET,
-71.10958801310,42.41840538210,CITY-ROW,IN-111,STORM WATER INLET,
-71.10942498380,42.41842746740,CITY-ROW,IN-112,STORM WATER INLET,
-71.10952951090,42.41813768840,CITY-ROW,IN-113,STORM WATER INLET,
-71.11009954800,42.41824888790,CITY-ROW,IN-114,STORM WATER INLET,
-71.11037967200,42.41834683920,CITY-ROW,IN-115,STORM WATER INLET,
-71.11064824870,42.41843246020,CITY-ROW,IN-116,STORM WATER INLET,
-71.11090692420,42.41850240850,CITY-ROW,IN-117,STORM WATER INLET,
-71.11118247140,42.41856950880,CITY-ROW,IN-118,STORM WATER INLET,
-71.09796917250,42.43781123000,CITY-ROW,IN-119,STORM WATER INLET,
-71.09773867690,42.43780141150,CITY-ROW,IN-120,STORM WATER INLET,
-71.09835702820,42.43805133460,CITY-ROW,IN-121,STORM WATER INLET,
-71.09844949940,42.43803574750,CITY-ROW,IN-122,STORM WATER INLET,
-71.10028611050,42.43683282930,CITY-ROW,IN-123,STORM WATER INLET,
-71.10022457310,42.43678943870,CITY-ROW,IN-124,STORM WATER INLET,
-71.10100109900,42.43590820990,CITY-ROW,IN-125,STORM WATER INLET,
-71.10108238510,42.43595535610,CITY-ROW,IN-126,STORM WATER INLET,
-71.10169096820,42.43551377900,CITY-ROW,IN-127,STORM WATER INLET,
-71.09893048120,42.43638699410,CITY-ROW,IN-128,STORM WATER INLET,
-71.09814197060,42.43680391040,CITY-ROW,IN-129,STORM WATER INLET,
-71.09805449850,42.43679622640,CITY-ROW,IN-130,STORM WATER INLET,
-71.09813676480,42.43625287710,CITY-ROW,IN-131,STORM WATER INLET,
-71.09813730730,42.43625853630,CITY-ROW,IN-132,STORM WATER INLET,
-71.09804830910,42.43625072460,CITY-ROW,IN-133,STORM WATER INLET,
-71.09804854650,42.43625678070,CITY-ROW,IN-134,STORM WATER INLET,
-71.09804479240,42.43596828160,CITY-ROW,IN-135,STORM WATER INLET,
-71.09804467810,42.43596274910,CITY-ROW,IN-136,STORM WATER INLET,
-71.09813290430,42.43582989600,CITY-ROW,IN-137,STORM WATER INLET,
-71.09813275050,42.43582407250,CITY-ROW,IN-138,STORM WATER INLET,
-71.09803967630,42.43578174000,CITY-ROW,IN-139,STORM WATER INLET,
-71.09803987470,42.43578664900,CITY-ROW,IN-140,STORM WATER INLET,
-71.09825334120,42.43564232320,CITY-ROW,IN-141,STORM WATER INLET,
-71.09824580820,42.43564064130,CITY-ROW,IN-142,STORM WATER INLET,
-71.10724525640,42.41756072820,CITY-ROW,IN-143,STORM WATER INLET,
-71.10727506470,42.41746934750,CITY-ROW,IN-144,STORM WATER INLET,
-71.10683160680,42.41738729320,CITY-ROW,IN-145,STORM WATER INLET,
-71.10682706120,42.41739357510,CITY-ROW,IN-146,STORM WATER INLET,
-71.10697408490,42.41734800830,CITY-ROW,IN-147,STORM WATER INLET,
-71.10713789560,42.41736056090,CITY-ROW,IN-148,STORM WATER INLET,
-71.10657986400,42.41792545700,CITY-ROW,IN-149,STORM WATER INLET,
-71.10642455970,42.41789685830,CITY-ROW,IN-150,STORM WATER INLET,
-71.10643886460,42.41775570970,CITY-ROW,IN-151,STORM WATER INLET,
-71.10881604820,42.41737976110,CITY-ROW,IN-152,STORM WATER INLET,
-71.10888895620,42.41730610610,CITY-ROW,IN-153,STORM WATER INLET,
-71.10943162200,42.41756053620,CITY-ROW,IN-154,STORM WATER INLET,
-71.10933474960,42.41762021360,CITY-ROW,IN-155,STORM WATER INLET,
-71.10824754620,42.41705762580,CITY-ROW,IN-156,STORM WATER INLET,
-71.10830686730,42.41700963500,CITY-ROW,IN-157,STORM WATER INLET,
-71.10781261400,42.41672148260,CITY-ROW,IN-158,STORM WATER INLET,
-71.10746983800,42.41643002120,CITY-ROW,IN-160,STORM WATER INLET,
-71.10709859410,42.41625606280,CITY-ROW,IN-161,STORM WATER INLET,
-71.09823719260,42.43557200330,CITY-ROW,IN-162,STORM WATER INLET,
